"","x"
"762","AT3G50700"
"763","AT3G50750"
"764","AT3G50870"
"765","AT3G50890"
"766","AT3G51060"
"767","AT3G51080"
"768","AT3G51880"
"769","AT3G51910"
"770","AT3G51960"
"771","AT3G52280"
"772","AT3G52860"
"773","AT3G52910"
"774","AT3G53340"
"775","AT3G53370"
"776","AT3G53570"
"777","AT3G53920"
"778","AT3G54220"
"779","AT3G54320"
"780","AT3G54390"
"781","AT3G54430"
"782","AT3G54500"
"783","AT3G54620"
"784","AT3G54810"
"785","AT3G54990"
"786","AT3G55370"
"787","AT3G55560"
"788","AT3G55730"
"789","AT3G55980"
"790","AT3G56380"
"791","AT3G56400"
"792","AT3G56770"
"793","AT3G56850"
"794","AT3G57040"
"795","AT3G57230"
"796","AT3G57300"
"797","AT3G57390"
"798","AT3G57600"
"799","AT3G57670"
"800","AT3G57800"
"801","AT3G57920"
"802","AT3G58070"
"803","AT3G58120"
"804","AT3G58630"
"805","AT3G58710"
"806","AT3G58780"
"807","AT3G58850"
"808","AT3G59060"
"809","AT3G59580"
"810","AT3G60030"
"811","AT3G60390"
"812","AT3G60400"
"813","AT3G60530"
"814","AT3G60580"
"815","AT3G60630"
"816","AT3G61050"
"817","AT3G61150"
"818","AT3G61630"
"819","AT3G61830"
"820","AT3G61850"
"821","AT3G61890"
"822","AT3G61950"
"823","AT3G61970"
"824","AT3G62100"
"825","AT3G62420"
"826","AT4G00020"
"827","AT4G00050"
"828","AT4G00130"
"829","AT4G00150"
"830","AT4G00180"
"831","AT4G00238"
"832","AT4G00270"
"833","AT4G00390"
"834","AT4G00480"
"835","AT4G00730"
"836","AT4G00870"
"837","AT4G00940"
"838","AT4G00950"
"839","AT4G01060"
"840","AT4G01120"
"841","AT4G01250"
"842","AT4G01280"
"843","AT4G01460"
"844","AT4G01500"
"845","AT4G01520"
"846","AT4G01540"
"847","AT4G01550"
"848","AT4G01680"
"849","AT4G01720"
"850","AT4G02560"
"851","AT4G02590"
"852","AT4G02640"
"853","AT4G02670"
"854","AT4G02990"
"855","AT4G03090"
"856","AT4G03250"
"857","AT4G04450"
"858","AT4G04580"
"859","AT4G04780"
"860","AT4G04890"
"861","AT4G04920"
"862","AT4G05100"
"863","AT4G05170"
"864","AT4G06598"
"865","AT4G06634"
"866","AT4G06746"
"867","AT4G07950"
"868","AT4G08250"
"869","AT4G08350"
"870","AT4G09180"
"871","AT4G09460"
"872","AT4G09620"
"873","AT4G10920"
"874","AT4G11080"
"875","AT4G11140"
"876","AT4G11660"
"877","AT4G12020"
"878","AT4G12240"
"879","AT4G12620"
"880","AT4G12750"
"881","AT4G13040"
"882","AT4G13640"
"883","AT4G13670"
"884","AT4G13980"
"885","AT4G14410"
"886","AT4G14540"
"887","AT4G14550"
"888","AT4G14560"
"889","AT4G14605"
"890","AT4G14770"
"891","AT4G15090"
"892","AT4G16141"
"893","AT4G16250"
"894","AT4G16430"
"895","AT4G16610"
"896","AT4G16750"
"897","AT4G16780"
"898","AT4G16845"
"899","AT4G17050"
"900","AT4G17460"
"901","AT4G17490"
"902","AT4G17500"
"903","AT4G17570"
"904","AT4G17600"
"905","AT4G17695"
"906","AT4G17750"
"907","AT4G17810"
"908","AT4G17880"
"909","AT4G18020"
"910","AT4G18130"
"911","AT4G18170"
"912","AT4G18390"
"913","AT4G18880"
"914","AT4G18890"
"915","AT4G19520"
"916","AT4G19630"
"917","AT4G19650"
"918","AT4G19990"
"919","AT4G20380"
"920","AT4G20400"
"921","AT4G20970"
"922","AT4G21440"
"923","AT4G21550"
"924","AT4G21750"
"925","AT4G22950"
"926","AT4G23050"
"927","AT4G23550"
"928","AT4G23750"
"929","AT4G23800"
"930","AT4G23810"
"931","AT4G23980"
"932","AT4G24020"
"933","AT4G24060"
"934","AT4G24240"
"935","AT4G24470"
"936","AT4G24540"
"937","AT4G24660"
"938","AT4G25210"
"939","AT4G25470"
"940","AT4G25480"
"941","AT4G25490"
"942","AT4G25800"
"943","AT4G25990"
"944","AT4G26150"
"945","AT4G26370"
"946","AT4G26630"
"947","AT4G26640"
"948","AT4G27240"
"949","AT4G27310"
"950","AT4G27410"
"951","AT4G28140"
"952","AT4G28500"
"953","AT4G28590"
"954","AT4G28610"
"955","AT4G28640"
"956","AT4G28790"
"957","AT4G28840"
"958","AT4G28990"
"959","AT4G29000"
"960","AT4G29080"
"961","AT4G29100"
"962","AT4G29190"
"963","AT4G29230"
"964","AT4G29730"
"965","AT4G29940"
