"","gcv_value","iqr_value","woo_differentially_expressed","regulator_in_GRN"
"AT5G48380",0.00820174693455082,1.93232386552923,TRUE,FALSE
"AT1G03970",0.00821929953986656,1.78688024070719,FALSE,FALSE
"AT3G03000",0.00822430796879936,3.00619176264025,FALSE,FALSE
"AT3G24080",0.00822480708225283,2.77800074635374,FALSE,FALSE
"AT3G55840",0.00823118945793607,2.27720396148313,FALSE,FALSE
"AT3G18110",0.00823119755884913,3.08441918086153,TRUE,FALSE
"AT5G58650",0.00823365272277863,2.31951978591145,TRUE,FALSE
"AT4G27595",0.00825177120791752,2.44119919549015,TRUE,FALSE
"AT1G12360",0.00827209422847752,2.329409903112,FALSE,FALSE
"AT1G76180",0.00827376502323684,2.64197968217614,TRUE,FALSE
"AT1G71950",0.00828396935690864,1.82933852767947,TRUE,FALSE
"AT4G30825",0.00829701070379073,2.62024350214844,TRUE,FALSE
"AT1G16790",0.00830609610704856,2.32161673358571,FALSE,FALSE
"AT2G02180",0.0083393597779017,3.11208817280737,FALSE,FALSE
"AT5G46920",0.0083397594217821,2.15407947588062,FALSE,FALSE
"AT2G34640",0.00835229612221405,2.29179950165776,TRUE,FALSE
"AT3G56070",0.00835915296330101,2.52310540633002,FALSE,FALSE
"AT1G12800",0.00837601168158078,3.58963782402396,TRUE,FALSE
"AT2G06000",0.00839306091232443,2.46095800432643,FALSE,FALSE
"AT5G01100",0.00839433518354115,2.58007730657779,TRUE,FALSE
"AT4G07400",0.0083965359529769,2.43486111062133,TRUE,FALSE
"AT3G54760",0.00842163708561908,2.24594023164459,FALSE,FALSE
"AT1G13700",0.00843939657781551,2.6176648122335,FALSE,FALSE
"AT3G03960",0.00845282194778468,2.6584475162874,FALSE,FALSE
"AT1G70200",0.00847893103514842,2.36422450622482,FALSE,FALSE
"AT5G25780",0.00849047160917342,2.71880083387166,FALSE,FALSE
"AT5G41800",0.00849357465563068,2.17818917012465,TRUE,FALSE
"AT5G39530",0.00849387542504979,2.58165030772833,TRUE,FALSE
"AT5G45130",0.00849962668038756,2.47751592530792,TRUE,FALSE
"AT5G22690",0.00851799445558606,1.85454257674974,FALSE,FALSE
"AT1G06220",0.00852638145965453,3.16527142014861,FALSE,FALSE
"AT2G23670",0.00853713884510193,1.94355349915849,TRUE,FALSE
"AT2G41630",0.00856418303598438,2.19070636885154,FALSE,FALSE
"AT3G13050",0.00856696479221627,2.47702884990837,FALSE,FALSE
"AT5G02590",0.00858594650854136,2.1653647123552,FALSE,FALSE
"AT5G10690",0.00858597950089528,3.11477302181007,TRUE,FALSE
"AT3G18680",0.00861067024014914,2.64666712869525,TRUE,FALSE
"AT1G60000",0.00861963817023043,1.76719223083007,TRUE,FALSE
"AT1G14520",0.00863879473988425,1.8529638291676,FALSE,FALSE
"AT5G03800",0.00864152975435569,2.69313209370338,FALSE,FALSE
"AT2G16800",0.00865300430407625,2.69689944285128,TRUE,FALSE
"AT5G44370",0.00865302034514436,2.70396549202181,TRUE,FALSE
"AT4G13050",0.00865966083506933,2.77140294708573,TRUE,FALSE
"AT1G48460",0.00866639854985235,3.6217622040419,FALSE,FALSE
"AT4G36800",0.00866865369159233,2.99326865893376,FALSE,FALSE
"AT4G30620",0.00868058779504485,2.33577331624978,TRUE,FALSE
"AT4G38100",0.00868766984082784,2.27850295257932,FALSE,FALSE
"AT3G09580",0.00868925180251805,2.140650495638,TRUE,FALSE
