,gene_name,combined_name_id
AT1G03150,AT1G03150,AT1G03150 (AT1G03150)
AT1G03160,FZL,FZL (AT1G03160)
AT1G03180,AT1G03180,AT1G03180 (AT1G03180)
AT1G03190,UVH6,UVH6 (AT1G03190)
AT1G03200,AT1G03200,AT1G03200 (AT1G03200)
AT1G03210,AT1G03210,AT1G03210 (AT1G03210)
AT1G03220,AT1G03220,AT1G03220 (AT1G03220)
AT1G03230,AT1G03230,AT1G03230 (AT1G03230)
AT1G03250,AT1G03250,AT1G03250 (AT1G03250)
AT1G03260,AT1G03260,AT1G03260 (AT1G03260)
AT1G03270,AT1G03270,AT1G03270 (AT1G03270)
AT1G03280,AT1G03280,AT1G03280 (AT1G03280)
AT1G03290,AT1G03290,AT1G03290 (AT1G03290)
AT1G03300,ATDUF1,ATDUF1 (AT1G03300)
AT1G03310,DBE1,DBE1 (AT1G03310)
AT1G03320,AT1G03320,AT1G03320 (AT1G03320)
AT1G03330,LSM2,LSM2 (AT1G03330)
AT1G03340,AT1G03340,AT1G03340 (AT1G03340)
AT1G03350,AT1G03350,AT1G03350 (AT1G03350)
AT1G03360,RRP4,RRP4 (AT1G03360)
AT1G03365,AT1G03365,AT1G03365 (AT1G03365)
AT1G03370,AT1G03370,AT1G03370 (AT1G03370)
AT1G03380,ATG18G,ATG18G (AT1G03380)
AT1G03400,AT1G03400,AT1G03400 (AT1G03400)
AT1G03410,2A6,2A6 (AT1G03410)
AT1G03420,AT1G03420,AT1G03420
AT1G03430,AHP5,AHP5 (AT1G03430)
AT1G03440,AT1G03440,AT1G03440 (AT1G03440)
AT1G03457,AT1G03457,AT1G03457 (AT1G03457)
AT1G03470,NET3A,NET3A (AT1G03470)
AT1G03475,LIN2,LIN2 (AT1G03475)
AT1G03510,AT1G03510,AT1G03510 (AT1G03510)
AT1G03520,AT1G03520,AT1G03520 (AT1G03520)
AT1G03530,NAF1,NAF1 (AT1G03530)
AT1G03540,AT1G03540,AT1G03540 (AT1G03540)
AT1G03545,AT1G03545,AT1G03545 (AT1G03545)
