,gene_name,combined_name_id
AT2G46670,AT2G46670,AT2G46670 (AT2G46670)
AT2G46680,HB-7,HB-7 (AT2G46680)
AT2G46690,AT2G46690,AT2G46690 (AT2G46690)
AT2G46700,CRK3,CRK3 (AT2G46700)
AT2G46710,ROPGAP3,ROPGAP3 (AT2G46710)
AT2G46720,KCS13,KCS13 (AT2G46720)
AT2G46730,AT2G46730,AT2G46730
AT2G46735,AT2G46735,AT2G46735 (AT2G46735)
AT2G46760,GulLO6,GulLO6 (AT2G46760)
AT2G46780,AT2G46780,AT2G46780 (AT2G46780)
AT2G46790,PRR9,PRR9 (AT2G46790)
AT2G46800,ZAT,ZAT (AT2G46800)
AT2G46810,AT2G46810,AT2G46810 (AT2G46810)
AT2G46820,PSI-P,PSI-P (AT2G46820)
AT2G46830,CCA1,CCA1 (AT2G46830)
AT2G46840,DUF4,DUF4 (AT2G46840)
AT2G46870,NGA1,NGA1 (AT2G46870)
AT2G46890,AT2G46890,AT2G46890 (AT2G46890)
AT2G46900,AT2G46900,AT2G46900 (AT2G46900)
AT2G46910,AT2G46910,AT2G46910 (AT2G46910)
AT2G46915,AT2G46915,AT2G46915 (AT2G46915)
AT2G46920,POL,POL (AT2G46920)
AT2G46930,AT2G46930,AT2G46930 (AT2G46930)
AT2G46940,AT2G46940,AT2G46940 (AT2G46940)
AT2G46970,PIL1,PIL1 (AT2G46970)
AT2G46980,ASY3,ASY3 (AT2G46980)
AT2G47000,ABCB4,ABCB4 (AT2G47000)
AT2G47010,AT2G47010,AT2G47010 (AT2G47010)
AT2G47020,AT2G47020,AT2G47020 (AT2G47020)
AT2G47050,AT2G47050,AT2G47050 (AT2G47050)
AT2G47060,PTI1-4,PTI1-4 (AT2G47060)
AT2G47070,SPL1,SPL1 (AT2G47070)
AT2G47090,AT2G47090,AT2G47090 (AT2G47090)
AT2G47110,UBQ6,UBQ6 (AT2G47110)
AT2G47130,SDR3,SDR3 (AT2G47130)
AT2G47160,BOR1,BOR1 (AT2G47160)
AT2G47170,ARF1A1C,ARF1A1C (AT2G47170)
AT2G47180,GolS1,GolS1 (AT2G47180)
AT2G47190,MYB2,MYB2 (AT2G47190)
AT2G47210,AT2G47210,AT2G47210 (AT2G47210)
AT2G47220,DUF5,DUF5 (AT2G47220)
AT2G47230,DUF6,DUF6 (AT2G47230)
AT2G47240,LACS1,LACS1 (AT2G47240)
AT2G47250,AT2G47250,AT2G47250 (AT2G47250)
AT2G47260,WRKY23,WRKY23 (AT2G47260)
AT2G47270,UPB1,UPB1 (AT2G47270)
AT2G47300,POP1,POP1 (AT2G47300)
AT2G47310,AT2G47310,AT2G47310 (AT2G47310)
AT2G47320,AT2G47320,AT2G47320 (AT2G47320)
AT2G47330,AT2G47330,AT2G47330 (AT2G47330)
AT2G47350,AT2G47350,AT2G47350 (AT2G47350)
AT2G47370,AT2G47370,AT2G47370 (AT2G47370)
AT2G47380,AT2G47380,AT2G47380 (AT2G47380)
AT2G47390,AT2G47390,AT2G47390 (AT2G47390)
AT2G47400,CP12-1,CP12-1 (AT2G47400)
AT2G47410,AT2G47410,AT2G47410 (AT2G47410)
AT2G47420,DIM1A,DIM1A (AT2G47420)
AT2G47440,AT2G47440,AT2G47440 (AT2G47440)
AT2G47450,CAO,CAO (AT2G47450)
AT2G47470,UNE5,UNE5 (AT2G47470)
AT2G47480,AT2G47480,AT2G47480 (AT2G47480)
AT2G47485,AT2G47485,AT2G47485 (AT2G47485)
AT2G47490,NDT1,NDT1 (AT2G47490)
AT2G47500,AT2G47500,AT2G47500 (AT2G47500)
AT2G47510,FUM1,FUM1 (AT2G47510)
AT2G47560,AT2G47560,AT2G47560 (AT2G47560)
AT2G47580,U1A,U1A (AT2G47580)
AT2G47590,PHR2,PHR2 (AT2G47590)
AT2G47600,MHX,MHX (AT2G47600)
AT2G47610,AT2G47610,AT2G47610 (AT2G47610)
AT2G47620,SWI3A,SWI3A (AT2G47620)
AT2G47630,AT2G47630,AT2G47630 (AT2G47630)
AT2G47640,AT2G47640,AT2G47640 (AT2G47640)
AT2G47650,UXS4,UXS4 (AT2G47650)
AT2G47670,AT2G47670,AT2G47670 (AT2G47670)
AT2G47680,AT2G47680,AT2G47680 (AT2G47680)
AT2G47690,AT2G47690,AT2G47690 (AT2G47690)
AT2G47700,RFI2,RFI2 (AT2G47700)
AT2G47710,AT2G47710,AT2G47710 (AT2G47710)
AT2G47730,GSTF8,GSTF8 (AT2G47730)
AT2G47750,GH3.9,GH3.9 (AT2G47750)
AT2G47760,ALG3,ALG3 (AT2G47760)
AT2G47770,TSPO,TSPO (AT2G47770)
AT2G47780,AT2G47780,AT2G47780 (AT2G47780)
AT2G47790,AT2G47790,AT2G47790 (AT2G47790)
AT2G47800,ABCC4,ABCC4 (AT2G47800)
AT2G47810,NF-YB5,NF-YB5 (AT2G47810)
AT2G47820,AT2G47820,AT2G47820 (AT2G47820)
AT2G47830,AT2G47830,AT2G47830 (AT2G47830)
AT2G47840,Tic20-II,Tic20-II (AT2G47840)
AT2G47844,AT2G47844,AT2G47844 (AT2G47844)
AT2G47850,AT2G47850,AT2G47850 (AT2G47850)
AT2G47860,SETH6,SETH6 (AT2G47860)
AT2G47870,AT2G47870,AT2G47870 (AT2G47870)
AT2G47880,AT2G47880,AT2G47880 (AT2G47880)
AT2G47890,AT2G47890,AT2G47890 (AT2G47890)
AT2G47895,AT2G47895,AT2G47895 (AT2G47895)
AT2G47900,TLP3,TLP3 (AT2G47900)
AT2G47910,CRR6,CRR6 (AT2G47910)
AT2G47920,NET3C,NET3C (AT2G47920)
AT2G47930,AGP26,AGP26 (AT2G47930)
AT2G47940,DEG2,DEG2 (AT2G47940)
AT2G47960,AT2G47960,AT2G47960 (AT2G47960)
AT2G47970,AT2G47970,AT2G47970 (AT2G47970)
AT2G47980,SCC3,SCC3 (AT2G47980)
AT2G47990,SWA1,SWA1 (AT2G47990)
AT2G48000,AT2G48000,AT2G48000 (AT2G48000)
AT2G48010,RKF3,RKF3 (AT2G48010)
AT2G48020,AT2G48020,AT2G48020 (AT2G48020)
AT2G48030,AT2G48030,AT2G48030 (AT2G48030)
AT2G48060,AT2G48060,AT2G48060 (AT2G48060)
AT2G48070,RPH1,RPH1 (AT2G48070)
AT2G48075,AT2G48075,AT2G48075 (AT2G48075)
AT2G48090,AT2G48090,AT2G48090 (AT2G48090)
AT2G48100,AT2G48100,AT2G48100 (AT2G48100)
AT2G48110,REF4,REF4 (AT2G48110)
AT2G48120,PAC,PAC (AT2G48120)
AT2G48121,AT2G48121,AT2G48121 (AT2G48121)
AT2G48160,AT2G48160,AT2G48160 (AT2G48160)
AT3G01040,GAUT13,GAUT13 (AT3G01040)
AT3G01050,MUB1,MUB1 (AT3G01050)
AT3G01060,AT3G01060,AT3G01060 (AT3G01060)
AT3G01070,ENODL16,ENODL16 (AT3G01070)
AT3G01090,KIN10,KIN10 (AT3G01090)
AT3G01100,HYP1,HYP1 (AT3G01100)
AT3G01120,MTO1,MTO1 (AT3G01120)
AT3G01130,AT3G01130,AT3G01130 (AT3G01130)
AT3G01140,MYB106,MYB106 (AT3G01140)
AT3G01142,AT3G01142,AT3G01142 (AT3G01142)
AT3G01150,PTB1,PTB1 (AT3G01150)
AT3G01160,AT3G01160,AT3G01160 (AT3G01160)
AT3G01170,AT3G01170,AT3G01170 (AT3G01170)
AT3G01180,SS2,SS2 (AT3G01180)
AT3G01200,RP2,RP2 (AT3G01200)
AT3G01210,AT3G01210,AT3G01210 (AT3G01210)
AT3G01220,HB20,HB20 (AT3G01220)
AT3G01280,VDAC1,VDAC1 (AT3G01280)
AT3G01290,HIR2,HIR2 (AT3G01290)
AT3G01300,AT3G01300,AT3G01300 (AT3G01300)
AT3G01310,AT3G01310,AT3G01310 (AT3G01310)
AT3G01320,SNL1,SNL1 (AT3G01320)
AT3G01330,DEL3,DEL3 (AT3G01330)
AT3G01340,AT3G01340,AT3G01340 (AT3G01340)
AT3G01345,AT3G01345,AT3G01345 (AT3G01345)
AT3G01350,AT3G01350,AT3G01350 (AT3G01350)
AT3G01360,AT3G01360,AT3G01360 (AT3G01360)
AT3G01370,CFM2,CFM2 (AT3G01370)
AT3G01380,AT3G01380,AT3G01380 (AT3G01380)
AT3G01390,VMA10,VMA10 (AT3G01390)
AT3G01400,AT3G01400,AT3G01400 (AT3G01400)
AT3G01410,AT3G01410,AT3G01410 (AT3G01410)
AT3G01430,AT3G01430,AT3G01430 (AT3G01430)
AT3G01435,AT3G01435,AT3G01435 (AT3G01435)
AT3G01440,PnsL3,PnsL3 (AT3G01440)
AT3G01450,AT3G01450,AT3G01450 (AT3G01450)
AT3G01460,MBD9,MBD9 (AT3G01460)
AT3G01472,AT3G01472,AT3G01472
AT3G01480,CYP38,CYP38 (AT3G01480)
AT3G01490,AT3G01490,AT3G01490 (AT3G01490)
AT3G01500,CA1,CA1 (AT3G01500)
AT3G01510,LSF1,LSF1 (AT3G01510)
AT3G01520,AT3G01520,AT3G01520 (AT3G01520)
AT3G01540,DRH1,DRH1 (AT3G01540)
AT3G01550,PPT2,PPT2 (AT3G01550)
AT3G01560,AT3G01560,AT3G01560 (AT3G01560)
AT3G01570,AT3G01570,AT3G01570 (AT3G01570)
AT3G01580,AT3G01580,AT3G01580 (AT3G01580)
AT3G01590,AT3G01590,AT3G01590 (AT3G01590)
AT3G01610,CDC48C,CDC48C (AT3G01610)
AT3G01640,GLCAK,GLCAK (AT3G01640)
AT3G01650,RGLG1,RGLG1 (AT3G01650)
AT3G01660,AT3G01660,AT3G01660 (AT3G01660)
AT3G01670,SEOa,SEOa (AT3G01670)
AT3G01680,SEOR1,SEOR1 (AT3G01680)
AT3G01690,AT3G01690,AT3G01690 (AT3G01690)
AT3G01700,AGP11,AGP11 (AT3G01700)
AT3G01710,AT3G01710,AT3G01710 (AT3G01710)
AT3G01720,AT3G01720,AT3G01720 (AT3G01720)
AT3G01740,AT3G01740,AT3G01740 (AT3G01740)
AT3G01750,AT3G01750,AT3G01750 (AT3G01750)
AT3G01770,BET10,BET10 (AT3G01770)
AT3G01780,TPLATE,TPLATE (AT3G01780)
AT3G01790,AT3G01790,AT3G01790 (AT3G01790)
AT3G01800,AT3G01800,AT3G01800 (AT3G01800)
AT3G01810,AT3G01810,AT3G01810 (AT3G01810)
AT3G01820,AT3G01820,AT3G01820 (AT3G01820)
AT3G01830,AT3G01830,AT3G01830 (AT3G01830)
AT3G01850,AT3G01850,AT3G01850 (AT3G01850)
AT3G01860,AT3G01860,AT3G01860 (AT3G01860)
AT3G01890,AT3G01890,AT3G01890 (AT3G01890)
AT3G01910,SOX,SOX (AT3G01910)
AT3G01920,AT3G01920,AT3G01920 (AT3G01920)
AT3G01930,AT3G01930,AT3G01930 (AT3G01930)
AT3G01940,AT3G01940,AT3G01940 (AT3G01940)
AT3G01950,AT3G01950,AT3G01950 (AT3G01950)
AT3G01960,AT3G01960,AT3G01960 (AT3G01960)
AT3G01970,WRKY45,WRKY45 (AT3G01970)
AT3G01980,AT3G01980,AT3G01980 (AT3G01980)
AT3G01990,ACR6,ACR6 (AT3G01990)
AT3G02010,AT3G02010,AT3G02010 (AT3G02010)
AT3G02020,AK3,AK3 (AT3G02020)
AT3G02030,AT3G02030,AT3G02030 (AT3G02030)
AT3G02040,SRG3,SRG3 (AT3G02040)
AT3G02050,KUP3,KUP3 (AT3G02050)
AT3G02060,AT3G02060,AT3G02060 (AT3G02060)
AT3G02065,AT3G02065,AT3G02065 (AT3G02065)
AT3G02070,AT3G02070,AT3G02070 (AT3G02070)
AT3G02080,AT3G02080,AT3G02080 (AT3G02080)
AT3G02090,MPPBETA,MPPBETA (AT3G02090)
AT3G02110,scpl25,scpl25 (AT3G02110)
AT3G02120,AT3G02120,AT3G02120 (AT3G02120)
AT3G02130,RPK2,RPK2 (AT3G02130)
AT3G02140,TMAC2,TMAC2 (AT3G02140)
AT3G02150,PTF1,PTF1 (AT3G02150)
AT3G02160,AT3G02160,AT3G02160 (AT3G02160)
AT3G02170,LNG2,LNG2 (AT3G02170)
AT3G02180,SP1L3,SP1L3 (AT3G02180)
AT3G02190,AT3G02190,AT3G02190 (AT3G02190)
AT3G02200,AT3G02200,AT3G02200 (AT3G02200)
AT3G02210,COBL1,COBL1 (AT3G02210)
AT3G02220,AT3G02220,AT3G02220 (AT3G02220)
AT3G02230,RGP1,RGP1 (AT3G02230)
AT3G02250,AT3G02250,AT3G02250 (AT3G02250)
AT3G02260,BIG,BIG (AT3G02260)
AT3G02280,AT3G02280,AT3G02280 (AT3G02280)
AT3G02290,AT3G02290,AT3G02290 (AT3G02290)
AT3G02300,AT3G02300,AT3G02300 (AT3G02300)
AT3G02310,SEP2,SEP2 (AT3G02310)
AT3G02320,AT3G02320,AT3G02320 (AT3G02320)
AT3G02330,AT3G02330,AT3G02330 (AT3G02330)
AT3G02340,AT3G02340,AT3G02340 (AT3G02340)
AT3G02350,GAUT9,GAUT9 (AT3G02350)
AT3G02360,AT3G02360,AT3G02360 (AT3G02360)
AT3G02370,AT3G02370,AT3G02370 (AT3G02370)
AT3G02380,COL2,COL2 (AT3G02380)
AT3G02390,AT3G02390,AT3G02390 (AT3G02390)
AT3G02400,AT3G02400,AT3G02400 (AT3G02400)
AT3G02410,ICME-LIKE2,ICME-LIKE2 (AT3G02410)
AT3G02420,AT3G02420,AT3G02420 (AT3G02420)
AT3G02450,AT3G02450,AT3G02450 (AT3G02450)
AT3G02460,AT3G02460,AT3G02460 (AT3G02460)
AT3G02468,AT3G02468,AT3G02468
AT3G02470,SAMDC,SAMDC (AT3G02470)
AT3G02480,AT3G02480,AT3G02480 (AT3G02480)
AT3G02490,AT3G02490,AT3G02490 (AT3G02490)
AT3G02500,AT3G02500,AT3G02500 (AT3G02500)
AT3G02510,AT3G02510,AT3G02510 (AT3G02510)
AT3G02515,AT3G02515,AT3G02515
AT3G02520,GRF7,GRF7 (AT3G02520)
AT3G02530,AT3G02530,AT3G02530 (AT3G02530)
AT3G02540,RAD23C,RAD23C (AT3G02540)
AT3G02550,LBD41,LBD41 (AT3G02550)
AT3G02555,AT3G02555,AT3G02555 (AT3G02555)
AT3G02560,AT3G02560,AT3G02560 (AT3G02560)
AT3G02570,MEE31,MEE31 (AT3G02570)
AT3G02580,STE1,STE1 (AT3G02580)
AT3G02600,LPP3,LPP3 (AT3G02600)
AT3G02610,AT3G02610,AT3G02610 (AT3G02610)
AT3G02630,AT3G02630,AT3G02630 (AT3G02630)
AT3G02640,AT3G02640,AT3G02640 (AT3G02640)
AT3G02650,AT3G02650,AT3G02650 (AT3G02650)
AT3G02660,EMB2768,EMB2768 (AT3G02660)
AT3G02680,NBS1,NBS1 (AT3G02680)
AT3G02690,AT3G02690,AT3G02690 (AT3G02690)
AT3G02700,AT3G02700,AT3G02700 (AT3G02700)
AT3G02710,AT3G02710,AT3G02710 (AT3G02710)
AT3G02720,DJ1D,DJ1D (AT3G02720)
AT3G02730,TRXF1,TRXF1 (AT3G02730)
AT3G02740,AT3G02740,AT3G02740 (AT3G02740)
AT3G02750,AT3G02750,AT3G02750 (AT3G02750)
AT3G02760,AT3G02760,AT3G02760 (AT3G02760)
AT3G02770,AT3G02770,AT3G02770 (AT3G02770)
AT3G02780,IPP2,IPP2 (AT3G02780)
AT3G02790,AT3G02790,AT3G02790 (AT3G02790)
AT3G02800,PFA-DSP3,PFA-DSP3 (AT3G02800)
AT3G02820,AT3G02820,AT3G02820 (AT3G02820)
AT3G02830,ZFN1,ZFN1 (AT3G02830)
AT3G02832,AT3G02832,AT3G02832 (AT3G02832)
AT3G02840,AT3G02840,AT3G02840 (AT3G02840)
AT3G02850,SKOR,SKOR (AT3G02850)
AT3G02860,AT3G02860,AT3G02860 (AT3G02860)
AT3G02870,VTC4,VTC4 (AT3G02870)
AT3G02875,ILR1,ILR1 (AT3G02875)
AT3G02880,AT3G02880,AT3G02880 (AT3G02880)
AT3G02890,AT3G02890,AT3G02890 (AT3G02890)
AT3G02900,AT3G02900,AT3G02900 (AT3G02900)
AT3G02910,AT3G02910,AT3G02910 (AT3G02910)
AT3G02920,RPA32B,RPA32B (AT3G02920)
AT3G02930,AT3G02930,AT3G02930 (AT3G02930)
AT3G02950,THO7,THO7 (AT3G02950)
AT3G02980,MCC1,MCC1 (AT3G02980)
AT3G02990,HSFA1E,HSFA1E (AT3G02990)
AT3G03000,AT3G03000,AT3G03000 (AT3G03000)
AT3G03010,AT3G03010,AT3G03010 (AT3G03010)
AT3G03020,AT3G03020,AT3G03020 (AT3G03020)
AT3G03030,AT3G03030,AT3G03030 (AT3G03030)
AT3G03040,AT3G03040,AT3G03040 (AT3G03040)
AT3G03050,CSLD3,CSLD3 (AT3G03050)
AT3G03060,AT3G03060,AT3G03060 (AT3G03060)
AT3G03070,AT3G03070,AT3G03070 (AT3G03070)
AT3G03090,VGT1,VGT1 (AT3G03090)
AT3G03100,AT3G03100,AT3G03100 (AT3G03100)
AT3G03110,XPO1B,XPO1B (AT3G03110)
AT3G03120,ARFB1C,ARFB1C (AT3G03120)
AT3G03130,AT3G03130,AT3G03130 (AT3G03130)
AT3G03140,AT3G03140,AT3G03140 (AT3G03140)
AT3G03150,AT3G03150,AT3G03150 (AT3G03150)
AT3G03160,AT3G03160,AT3G03160 (AT3G03160)
AT3G03170,AT3G03170,AT3G03170 (AT3G03170)
AT3G03180,AT3G03180,AT3G03180 (AT3G03180)
AT3G03190,GSTF11,GSTF11 (AT3G03190)
AT3G03200,NAC045,NAC045 (AT3G03200)
AT3G03210,AT3G03210,AT3G03210 (AT3G03210)
AT3G03220,EXPA13,EXPA13 (AT3G03220)
AT3G03240,AT3G03240,AT3G03240 (AT3G03240)
AT3G03250,UGP1,UGP1 (AT3G03250)
AT3G03270,AT3G03270,AT3G03270 (AT3G03270)
AT3G03300,DCL2,DCL2 (AT3G03300)
AT3G03305,AT3G03305,AT3G03305 (AT3G03305)
AT3G03310,LCAT3,LCAT3 (AT3G03310)
AT3G03320,AT3G03320,AT3G03320 (AT3G03320)
AT3G03330,AT3G03330,AT3G03330 (AT3G03330)
AT3G03340,UNE6,UNE6 (AT3G03340)
AT3G03341,AT3G03341,AT3G03341 (AT3G03341)
AT3G03350,AT3G03350,AT3G03350 (AT3G03350)
AT3G03360,AT3G03360,AT3G03360 (AT3G03360)
AT3G03370,AT3G03370,AT3G03370 (AT3G03370)
AT3G03380,DEG7,DEG7 (AT3G03380)
AT3G03420,AT3G03420,AT3G03420 (AT3G03420)
AT3G03430,AT3G03430,AT3G03430 (AT3G03430)
AT3G03440,AT3G03440,AT3G03440 (AT3G03440)
AT3G03450,RGL2,RGL2 (AT3G03450)
AT3G03460,AT3G03460,AT3G03460 (AT3G03460)
AT3G03470,CYP89A9,CYP89A9 (AT3G03470)
AT3G03480,CHAT,CHAT (AT3G03480)
AT3G03490,PEX19-1,PEX19-1 (AT3G03490)
AT3G03520,NPC3,NPC3 (AT3G03520)
AT3G03550,AT3G03550,AT3G03550 (AT3G03550)
AT3G03560,AT3G03560,AT3G03560 (AT3G03560)
AT3G03570,AT3G03570,AT3G03570 (AT3G03570)
AT3G03580,AT3G03580,AT3G03580 (AT3G03580)
AT3G03590,AT3G03590,AT3G03590 (AT3G03590)
AT3G03600,RPS2,RPS2 (AT3G03600)
AT3G03610,AT3G03610,AT3G03610 (AT3G03610)
AT3G03630,CS26,CS26 (AT3G03630)
AT3G03640,BGLU25,BGLU25 (AT3G03640)
AT3G03680,AT3G03680,AT3G03680 (AT3G03680)
AT3G03690,UNE7,UNE7 (AT3G03690)
AT3G03702,AT3G03702,AT3G03702 (AT3G03702)
AT3G03710,RIF10,RIF10 (AT3G03710)
AT3G03720,CAT4,CAT4 (AT3G03720)
AT3G03740,BPM4,BPM4 (AT3G03740)
AT3G03750,SDG20,SDG20 (AT3G03750)
AT3G03770,AT3G03770,AT3G03770 (AT3G03770)
AT3G03773,AT3G03773,AT3G03773 (AT3G03773)
AT3G03776,AT3G03776,AT3G03776 (AT3G03776)
AT3G03780,MS2,MS2 (AT3G03780)
AT3G03790,AT3G03790,AT3G03790 (AT3G03790)
AT3G03810,EDA30,EDA30 (AT3G03810)
AT3G03820,SAUR29,SAUR29 (AT3G03820)
AT3G03830,SAUR28,SAUR28 (AT3G03830)
AT3G03840,SAUR27,SAUR27 (AT3G03840)
AT3G03850,SAUR26,SAUR26 (AT3G03850)
AT3G03855,AT3G03855,AT3G03855
AT3G03860,APRL5,APRL5 (AT3G03860)
AT3G03870,AT3G03870,AT3G03870 (AT3G03870)
AT3G03880,AT3G03880,AT3G03880 (AT3G03880)
AT3G03890,AT3G03890,AT3G03890 (AT3G03890)
AT3G03900,APK3,APK3 (AT3G03900)
AT3G03910,GDH3,GDH3 (AT3G03910)
AT3G03920,AT3G03920,AT3G03920 (AT3G03920)
AT3G03940,AT3G03940,AT3G03940 (AT3G03940)
AT3G03950,ECT1,ECT1 (AT3G03950)
AT3G03960,AT3G03960,AT3G03960 (AT3G03960)
AT3G03970,AT3G03970,AT3G03970 (AT3G03970)
AT3G03980,AT3G03980,AT3G03980 (AT3G03980)
AT3G03990,AT3G03990,AT3G03990 (AT3G03990)
AT3G04000,AT3G04000,AT3G04000 (AT3G04000)
AT3G04010,AT3G04010,AT3G04010 (AT3G04010)
AT3G04020,AT3G04020,AT3G04020 (AT3G04020)
AT3G04030,MYR2,MYR2 (AT3G04030)
AT3G04040,AT3G04040,AT3G04040 (AT3G04040)
AT3G04060,NAC046,NAC046 (AT3G04060)
AT3G04070,NAC047,NAC047 (AT3G04070)
AT3G04080,APY1,APY1 (AT3G04080)
AT3G04090,SIP1A,SIP1A (AT3G04090)
AT3G04110,GLR1.1,GLR1.1 (AT3G04110)
AT3G04120,GAPC1,GAPC1 (AT3G04120)
AT3G04130,AT3G04130,AT3G04130 (AT3G04130)
AT3G04140,AT3G04140,AT3G04140 (AT3G04140)
AT3G04160,AT3G04160,AT3G04160 (AT3G04160)
AT3G04181,AT3G04181,AT3G04181 (AT3G04181)
AT3G04184,AT3G04184,AT3G04184 (AT3G04184)
AT3G04210,AT3G04210,AT3G04210 (AT3G04210)
AT3G04220,AT3G04220,AT3G04220 (AT3G04220)
AT3G04230,AT3G04230,AT3G04230 (AT3G04230)
AT3G04240,SEC,SEC (AT3G04240)
AT3G04260,PTAC3,PTAC3 (AT3G04260)
AT3G04290,LTL1,LTL1 (AT3G04290)
AT3G04300,AT3G04300,AT3G04300 (AT3G04300)
AT3G04310,AT3G04310,AT3G04310 (AT3G04310)
AT3G04340,emb2458,emb2458 (AT3G04340)
AT3G04350,AT3G04350,AT3G04350 (AT3G04350)
AT3G04380,SUVR4,SUVR4 (AT3G04380)
AT3G04400,emb2171,emb2171 (AT3G04400)
AT3G04410,AT3G04410,AT3G04410 (AT3G04410)
AT3G04420,NAC048,NAC048 (AT3G04420)
AT3G04445,AT3G04445,AT3G04445
AT3G04450,AT3G04450,AT3G04450 (AT3G04450)
AT3G04460,PEX12,PEX12 (AT3G04460)
AT3G04470,AT3G04470,AT3G04470 (AT3G04470)
AT3G04480,AT3G04480,AT3G04480 (AT3G04480)
AT3G04485,AT3G04485,AT3G04485 (AT3G04485)
AT3G04490,AT3G04490,AT3G04490 (AT3G04490)
AT3G04500,AT3G04500,AT3G04500 (AT3G04500)
AT3G04520,THA2,THA2 (AT3G04520)
AT3G04550,AT3G04550,AT3G04550 (AT3G04550)
AT3G04560,AT3G04560,AT3G04560 (AT3G04560)
AT3G04580,EIN4,EIN4 (AT3G04580)
AT3G04590,AT3G04590,AT3G04590 (AT3G04590)
AT3G04600,AT3G04600,AT3G04600 (AT3G04600)
AT3G04605,AT3G04605,AT3G04605
AT3G04610,FLK,FLK (AT3G04610)
AT3G04620,DAN1,DAN1 (AT3G04620)
AT3G04630,WDL1,WDL1 (AT3G04630)
AT3G04640,AT3G04640,AT3G04640 (AT3G04640)
AT3G04650,AT3G04650,AT3G04650 (AT3G04650)
AT3G04670,WRKY39,WRKY39 (AT3G04670)
AT3G04680,CLPS3,CLPS3 (AT3G04680)
AT3G04710,TPR10,TPR10 (AT3G04710)
AT3G04720,PR4,PR4 (AT3G04720)
AT3G04730,IAA16,IAA16 (AT3G04730)
AT3G04740,SWP,SWP (AT3G04740)
AT3G04750,AT3G04750,AT3G04750 (AT3G04750)
AT3G04760,AT3G04760,AT3G04760 (AT3G04760)
AT3G04770,RPSAb,RPSAb (AT3G04770)
AT3G04780,AT3G04780,AT3G04780 (AT3G04780)
AT3G04790,EMB3119,EMB3119 (AT3G04790)
AT3G04810,NEK2,NEK2 (AT3G04810)
AT3G04820,AT3G04820,AT3G04820 (AT3G04820)
AT3G04830,AT3G04830,AT3G04830 (AT3G04830)
AT3G04840,AT3G04840,AT3G04840 (AT3G04840)
AT3G04850,AT3G04850,AT3G04850 (AT3G04850)
AT3G04860,AT3G04860,AT3G04860 (AT3G04860)
AT3G04870,ZDS,ZDS (AT3G04870)
AT3G04880,DRT102,DRT102 (AT3G04880)
AT3G04890,AT3G04890,AT3G04890 (AT3G04890)
AT3G04910,WNK1,WNK1 (AT3G04910)
AT3G04920,AT3G04920,AT3G04920 (AT3G04920)
AT3G04930,AT3G04930,AT3G04930 (AT3G04930)
AT3G04940,CYSD1,CYSD1 (AT3G04940)
AT3G04950,AT3G04950,AT3G04950 (AT3G04950)
AT3G04960,AT3G04960,AT3G04960 (AT3G04960)
AT3G04970,AT3G04970,AT3G04970 (AT3G04970)
AT3G04980,AT3G04980,AT3G04980 (AT3G04980)
AT3G05000,AT3G05000,AT3G05000 (AT3G05000)
AT3G05010,Cand2,Cand2 (AT3G05010)
AT3G05020,ACP1,ACP1 (AT3G05020)
AT3G05030,NHX2,NHX2 (AT3G05030)
AT3G05040,HST,HST (AT3G05040)
AT3G05050,AT3G05050,AT3G05050 (AT3G05050)
AT3G05060,AT3G05060,AT3G05060 (AT3G05060)
AT3G05070,AT3G05070,AT3G05070 (AT3G05070)
AT3G05090,LRS1,LRS1 (AT3G05090)
AT3G05100,AT3G05100,AT3G05100 (AT3G05100)
AT3G05120,GID1A,GID1A (AT3G05120)
AT3G05130,AT3G05130,AT3G05130 (AT3G05130)
AT3G05160,AT3G05160,AT3G05160 (AT3G05160)
AT3G05165,AT3G05165,AT3G05165 (AT3G05165)
AT3G05170,AT3G05170,AT3G05170 (AT3G05170)
AT3G05180,AT3G05180,AT3G05180 (AT3G05180)
AT3G05190,AT3G05190,AT3G05190 (AT3G05190)
AT3G05200,ATL6,ATL6 (AT3G05200)
AT3G05210,ERCC1,ERCC1 (AT3G05210)
AT3G05220,AT3G05220,AT3G05220 (AT3G05220)
AT3G05230,AT3G05230,AT3G05230 (AT3G05230)
AT3G05240,MEF19,MEF19 (AT3G05240)
AT3G05250,AT3G05250,AT3G05250 (AT3G05250)
AT3G05270,AT3G05270,AT3G05270 (AT3G05270)
AT3G05280,AT3G05280,AT3G05280 (AT3G05280)
AT3G05290,PNC1,PNC1 (AT3G05290)
AT3G05320,AT3G05320,AT3G05320 (AT3G05320)
AT3G05327,AT3G05327,AT3G05327 (AT3G05327)
AT3G05330,ATN,ATN (AT3G05330)
AT3G05340,AT3G05340,AT3G05340 (AT3G05340)
AT3G05345,AT3G05345,AT3G05345 (AT3G05345)
AT3G05350,AT3G05350,AT3G05350 (AT3G05350)
AT3G05360,RLP30,RLP30 (AT3G05360)
AT3G05370,RLP31,RLP31 (AT3G05370)
AT3G05380,ALY2,ALY2 (AT3G05380)
AT3G05400,AT3G05400,AT3G05400 (AT3G05400)
AT3G05410,AT3G05410,AT3G05410 (AT3G05410)
AT3G05420,ACBP4,ACBP4 (AT3G05420)
AT3G05430,AT3G05430,AT3G05430 (AT3G05430)
