,P002,P004,P007,P008,P009,P010,P016,P017,P020,P023,P024,P035,P037,P038,P039,P049,P050,P051,P052,P053,P054,P059,P064,P068,P077,P080,P085,P092,P094,P095,P097,P100,P109,P110,P111,P112,P114,P122,P127,P130,P138,P140,P142,P143,P144,P152,P154,P155,P158,P159,P170,P174,P181,P183,P188,P199,P200,P202,P203,P204,P205,P213,P214,P217,P219
AT1G02230,1.72864736183806,-0.867999821237971,-0.775221924535017,0.35463970980027,-0.426013311938172,0.26163935377393,-1.30155759395173,1.09456104736943,2.03622827354644,-0.192359958988674,0.178244914919879,-0.371912440376006,-0.927368653166414,-0.543576884921635,0.616545396819697,0.282164316069045,0.834141512218734,-0.843532385378417,1.35313293425091,-0.826613117949838,-0.454967010819329,-0.571291608960049,-0.700423066759546,0.763414895946344,-0.491039408048815,-0.406752042188398,-0.604836621098852,2.55141316937846,0.385042483996256,-1.13124644362336,-0.336442537147355,3.24389814594854,-0.419083086072156,-0.191779092977612,-0.936458588296962,-0.347494439921648,1.42986904196752,-0.186026047697843,-1.02446287868561,-0.947176802086177,-1.22367211306429,-0.153154592954845,0.188746848811358,0.723912917481335,0.156091673966096,-1.00544878596182,-0.262731258286212,-0.891324063352351,-0.0370215570092628,0.257440434045033,-0.860946006858963,-0.871135879755139,0.747144468210971,0.340513542765306,2.5489259505545,-0.979556992490032,-1.04676751556781,-0.870320195569393,-0.063756842082217,-0.163276492168875,1.13324116222305,-0.578422666159677,0.762849478499406,-0.613129410320603,1.47385110402849
AT1G02340,0.74234961934007,0.938862964373926,-0.432367136916059,0.890873467216589,-1.35600042922911,-0.435123057978189,-1.2069508868635,0.324975523166627,-0.32866495518063,1.96670127662936,-1.01363692445275,-0.0933090977244496,-0.816622728714728,-0.193770407715942,-1.03937583095233,-0.555089223517128,0.236269795327651,-0.146024379650906,0.19390840920804,0.423378277138935,1.56681397535361,1.56802461299318,0.593760432309188,0.219678370438781,1.64744547309079,-0.357946833848879,-0.134377861714226,-0.316896951135649,0.136280020374103,0.771783045096384,3.15529452895736,-0.349675095656901,-1.10492069185376,-0.321060769489683,-1.16814191355083,0.941477027424114,1.52735682769215,-0.838400045269594,-0.341487081020131,-0.975756611820706,-0.818135466779031,-0.205110850222302,0.545369211149555,-0.565080896939714,-0.397296159483746,-0.790491538851125,-0.257259445414536,-0.425112503279057,2.74606049891577,-0.393392207120066,0.228165007370392,-1.03177214213708,0.276750258490317,-0.964687711883617,1.66002338452444,0.318591912629222,-0.134653627726933,-1.22904918511964,-1.37536938927299,-0.751636852974186,-1.382881156084,0.466658137987357,1.34259161167533,-0.203735249850805,-0.978180371478341
AT1G02740,1.36087762158767,1.4881662849753,-0.595022937754511,-0.484883480037427,-0.520031069553913,1.51838759270637,0.37455926760051,1.4403659406454,-1.2594681671184,0.084732659601342,-0.235144372125696,-1.45163404310634,0.225935264648065,-0.355729769768278,-1.17897026956325,-0.290821106124429,-0.736317799195599,0.642360709813367,-1.4364903656451,2.16240536929543,-0.426736790753219,-0.577556076544281,-0.175677787381209,-0.352605632777312,1.19018232465174,0.925826868442001,-0.851915061333814,-1.05512130197004,1.43174416124483,0.00632625644115411,1.74408028110072,-1.40371837828349,-0.439942035564697,-1.255752750509,-1.59281882589506,0.166897462463749,0.283307209893239,1.59983950524869,-0.84539421164126,1.89344757704867,1.56777516636658,-0.0836321150087839,-1.54510025427835,-0.174113622149491,-0.300503834060187,1.08480350655746,-0.408394542164647,0.348490545983946,-0.994973277948996,0.153296982871869,-1.68154641317473,-0.71817683728564,0.252557524630814,0.881534363834174,-0.421169956047839,0.766550397044857,0.80161411711192,-0.633707721300366,0.119845652969941,-0.00623424197789386,0.169117906137195,1.63317132118519,0.149785998045445,-1.30168070938056,-0.677000082723837
AT1G03040,-0.563644088399888,0.265300214348199,0.421145723641623,0.940227893679696,1.18455435611244,-1.28124280640447,-1.80395428304638,-1.88950391877675,0.318375858309574,0.332654096071116,1.27792716385553,0.278620718422615,-1.82267011906226,0.531039585743595,0.67252561299366,0.56138165639481,0.378902848263963,0.276112227093492,-0.292959490244783,-1.04798157794575,-0.287734949202328,-0.727614025875111,-1.29291707598015,0.605401824565234,-0.0716020316322834,-1.38265761199963,0.697479467990875,0.376894869152753,0.439187884444762,0.312380979149736,-0.476183136462954,1.27797164065215,0.116390120207045,1.63844065859939,0.949401381237668,-0.69252183334534,1.76703968228605,-1.44484210390789,1.07885435941935,-0.463398133019789,-1.85100954781786,-0.605475405152865,0.590933226114177,1.53346711625102,-0.236588412166162,-1.35279944889559,0.211291743705803,-0.95846579800517,0.426055961987995,1.25594732399202,0.894018281067871,-0.00335031164168395,0.181393847996789,-0.901718742739159,0.378491289639279,-1.00196588416717,-0.939435066269253,1.07032489587637,-1.17419308719008,1.34058133073606,-1.77011574315722,-0.956158341796748,0.0400703093103612,1.69106975552274,0.980847069468907
AT1G03800,1.52536933394513,-1.05817426085106,0.940605897423777,-1.03495977008499,2.96119183948462,-0.022157800232095,1.98808373140121,1.51314942605893,-0.931148901862149,-0.369708318182256,0.525695846302846,0.949916700362986,-1.45282893941847,-0.308467074498845,-0.430274382780551,1.42676818088523,0.654313294245549,-0.752618214886335,0.570724456399183,0.709719656946465,-0.811850592402916,1.31513857214585,-1.06418418826303,0.416483545399068,0.757649036445528,-0.767863925339168,-0.501551621753853,0.0394918851200908,-1.14573081776552,-0.676106254117309,-1.45282893941847,0.581852407987226,0.0457602144041422,1.08768657590395,0.21407152411633,0.959227503302196,-0.131195054706398,1.33530225371249,-1.45282893941847,-1.45282893941847,0.676260782283989,1.0147422280785,-0.985738381225516,-0.239673827715234,1.27056841698385,-0.0920013255925555,0.377048085501665,0.179095580398405,-0.731037490795366,-1.03570996906845,-0.238715240125252,-1.45282893941847,-1.00639385990355,0.148545810682915,-0.0600178422642245,-1.08749870556022,-1.06714330647558,1.36885281936184,0.707494066628857,-0.588066235635726,0.442807194174379,-0.893022122413677,-1.45282893941847,-0.411819487787346,0.456185742712813
AT1G03970,1.27517835253073,1.5581327097812,-0.757754123677557,-1.03596748516172,-1.1047180369643,1.07668501578289,0.29250290134111,0.922068953275984,-0.851715598784724,-0.609101756892273,-1.17870283877506,-0.930113815771778,0.989394884571071,-1.01846646898405,-0.927796360626947,-0.436478209593314,-0.904774144959149,1.01693357517101,-0.564599640428844,1.03741190062827,-0.828405754391517,-0.620144155872539,1.09401992606289,-0.908522580800124,1.45790268214319,0.991675413572107,-0.453239467907001,-0.964189854059645,0.487153634406353,-0.131356557178109,0.790159011236064,-0.235786717549831,-0.27185374188179,-0.870826854179328,-1.18705827417493,1.16319969797503,-0.889071950679274,2.17529762884274,-1.22855461488337,1.15010882425523,1.1769349267291,-0.146621133429436,-0.930630164290857,-0.978802356601155,-0.555122033103923,1.43254998220625,-0.62838498437796,1.07584269215831,-0.702176078307306,-0.698349714718056,-0.906390497367118,-0.535962180928105,1.75040843725677,0.842686512533177,-0.764604602594889,1.38405237053509,1.30480892770144,-1.07008396930943,0.701370592477369,-1.09234030711521,0.83430755061025,1.34149048210538,0.658717623676266,-1.04680722259695,-1.0155209606477
AT1G04100,1.5418084517375,0.975916267336753,0.0368027137461609,0.197086137239565,-0.874055398265037,-0.438184680019135,-0.766071628712464,0.333304584803,-0.858010822580298,0.0460576025205457,-1.20058138942087,1.62980067998689,0.399670612626499,-1.52483093842661,-1.41746063794434,-0.354535812787463,1.1901056899366,-0.0312432755313878,0.607447867743871,-0.519464612840884,0.669606441543689,2.95166419312692,0.308799798739555,-0.102347172174734,0.880981456808722,-0.814526247280375,0.442026404837072,0.343288086073187,-0.310907780104948,0.472839540540328,0.840839816042643,-0.78499101484048,0.488863352656534,2.18096583150619,-1.43265579491636,-0.467785978358909,0.122603441716728,0.51156737104901,0.675716593483866,-1.09156510423306,-1.95048031816277,0.204985731267875,0.120187317378319,-1.77991515305115,0.424962526697066,0.235128769986651,0.293074226971371,0.949116163151821,0.428497996139127,1.38189310968628,1.02942398344679,-0.156900617099986,-0.179695240155152,-1.35871295217538,1.11443947100737,-0.216799737123965,0.3186662689871,-0.453291119925601,-1.75685060360506,0.384035645521006,-1.87647518471619,-0.160066117502728,0.644922333752003,-1.68975973848003,-0.80893140935925
AT1G04240,2.13504577653631,1.43339441067097,-0.889316498386523,-0.745062522741693,-1.08020518262738,1.1845796297507,0.256278104539706,0.767835765527339,-0.855487407417452,1.16252372027606,-1.02610839252462,-1.10607203549007,0.173814386798176,-0.910512727345895,-1.21410024582362,-0.727196657854443,-1.07996241419189,0.980822245524258,0.160303177560839,0.270637258039535,0.152886826970059,0.486950358648642,0.912258803916785,-1.07508529294461,0.771268164176328,0.732829609345305,0.614716922646208,-1.14575215433698,0.815252098440258,1.2081213892956,0.210900186735791,-0.102730528873604,-0.58062563227196,-1.3672691701282,-1.23390456532216,-0.33173193516928,-0.673914930271501,0.926602123592837,-0.760334726354499,0.154600421048788,2.6084304154118,0.573658654083088,-0.41602716597748,-1.01987108005136,-0.968318780370923,1.36920499964794,-0.947532257925208,0.622254632161086,0.541878753317156,-1.07905477691963,-1.17819221932111,-0.852117787603312,1.00297411910019,0.460301679119875,0.685427390288086,2.26234415510557,1.16023813563678,-1.36814928791121,0.146888438297764,-1.09705813807853,0.449180770225398,0.482611030949542,0.235477114127217,-1.08298591572396,-1.19781123755289
AT1G04250,-1.55041349335549,-0.861563809427474,1.76432070380633,0.196927951717972,0.806310404461433,0.026548879826507,-0.99793676623183,-1.10542179739161,-0.25263247642244,1.17698487894594,1.05326482101019,-0.575813917299481,0.74956166663192,0.00173864451929571,0.457511597334455,0.413379300102127,0.115163790725207,-1.93686195306133,-1.17059092819404,-0.0883953610217566,-0.376169949456254,-0.96416020322401,-1.10747537851219,1.76055528648936,-0.741262374912944,1.21348747563602,-0.958912090827135,0.0916404560773332,-1.47190233777483,-0.595245412747818,-0.438567899377196,-0.176781248221913,0.0965067840313406,0.37163528383795,1.35657773685367,-0.0901557495377344,-0.0308463611992029,-0.0360199719110094,0.38050309788407,0.124613528098671,-1.0372275106962,-0.136439730582321,-0.370212045591705,1.43459473901966,2.63471602345826,-1.03612014207228,0.386043522250965,-1.38883248925179,-0.308653046876144,0.644836955193854,0.31842957374066,0.58194209253657,-2.23104585864366,1.18198964265518,-0.370147230886965,-1.57958551171405,-0.316299773020186,0.30402849782219,1.29431417176892,0.445142321508063,-0.0090491877368146,1.5753111616762,-0.902195760349992,1.95349991486463,0.300856863044846
AT1G04550,-1.21171779702908,-0.582389997729069,0.792645779416569,1.18081250600637,1.23530620546736,-1.0570599896617,-1.04130313149782,-1.21865240500347,0.194730111816965,0.4351623980919,1.66036730299189,0.13480038580048,-0.830670320963823,0.686977366762525,1.78293311105029,0.164788042900314,0.519852752533619,-0.663649789344925,0.117620510192566,-0.984963839196167,1.10810809676794,-0.979091290174298,-0.755174207959767,1.54893333823907,-1.34246095942536,-0.850875878044669,-0.272066446999007,0.304499171140104,-0.0687129660437489,-0.908711045617353,-0.928868932862816,0.0728535388020414,0.49137179529626,0.381720765652871,1.5428257706838,-0.456760413962477,1.15708812404637,-1.04119467741819,1.46470531875101,-0.855311254387548,-1.14250244504334,-0.331010927029157,0.275357081163974,1.46893815033481,1.34442037700832,-1.36441219004126,0.129848967877181,-1.0169617478257,0.311951902347114,1.15346937986161,0.205814285287153,0.796947513688198,-1.55038262613386,-0.144381856180418,-0.0559776260483954,-1.35920452073212,-1.1025307676611,1.52290477545872,-1.26002794862949,0.916691434024059,-1.36399398611424,-0.436170375720262,-0.826265753073506,1.90851773112936,0.990494122963286
